ParagraphID,Description,ControlID,Classification,Compliance,GCSB Tags,chapterTitle,ChapterNo,SectionName,SectionNo,BlockName,BlockNo,Logging
11.8.13.C.01.,"Use of MFDs for printing, scanning, and copying purposes SHOULD be centrally logged.",7537,"Top Secret, Secret, Confidential",Should,"Communications systems,Event Logging",Communications Systems and Devices,11,"Multifunction Devices, Network Printers and Fax Machines",11.8,Logging multifunction device use,11.8.13,Y
13.3.9.C.01.,Data transfers between systems of different classification SHOULD be logged in an auditable log or register.,4111,All Classifications,Should,"Technical,Data Transfers,Media Management","Media and IT Equipment Management, Decommissioning and Disposal",13,Media Usage,13.3,Using media for data transfers,13.3.9,Y
14.1.8.C.01.,"Agencies SHOULD develop a hardened SOE for workstations and servers, covering:
removal of unneeded software and operating system components;
removal or disabling of unneeded services, ports and BIOS settings;
disabling of unused or undesired functionality in software and operating systems;
implementation of access controls on relevant objects to limit system users and programs to the minimum access required;
installation of antivirus and anti-malware software;
installation of software-based firewalls limiting inbound and outbound network connections; 
configuration of either remote logging or the transfer of local event logs to a central server; and
protection of audit and other logs through the use of a one way pipe to reduce likelihood of compromise key transaction records.
",1149,All Classifications,Should,"Technical,Software Security,Standard Operating Environments",Software security,14,Standard Operating Environments,14.1,Developing hardened SOEs,14.1.8,Y
14.3.6.C.02.,"An agency’s Web proxy SHOULD authenticate system users and provide logging that includes at least the following details about websites accessed:
address (uniform resource locator);
time/date;
system user;
internal IP address; and
external IP address.
",1593,All Classifications,Should,"Technical,Software Security,Web Applications",Software security,14,Web Applications,14.3,Web proxy,14.3.6,Y
15.2.40.C.02,Agencies SHOULD configure systems to log every occurrence of a blocked email.,1761,All Classifications,Should,"Technical,Email,Email Infrastructure,Email Security",Email security,15,Email Infrastructure,15.2,Blocking of outbound emails,15.2.40,Y
15.2.41.C.01,"Agencies MUST configure email systems to reject, log and report inbound emails with protective markings indicating that the content of the email exceeds the accreditation of the receiving system.",1764,All Classifications,Must,"Technical,Email,Email Infrastructure,Email Security",Email security,15,Email Infrastructure,15.2,Blocking of inbound emails,15.2.41,Y
16.1.28.C.01.,"If agencies choose to allow shared, non user-specific accounts they MUST ensure that an independent means of determining the identification of the system user is implemented and logged.",1837,All Classifications,Must,"Technical,Access Control,Passwords,Authentication",Authentication and Access Controls,16,"Identification, Authentication and Authorisation",16.1,System user identification for shared accounts,16.1.28,Y
16.1.42.C.01.,"Agencies MUST:

Record all successful and failed logon attempts;
lock system user accounts after three failed logon attempts;
use a temporary lock out feature to unlock system (max [] times);
have a system administrator reset locked accounts if [] times is superseded;
remove or suspend system user accounts as soon as possible when personnel no longer need access due to changing roles or leaving the organisation; and
remove or suspend inactive accounts after a specified number of days.

NB: Agencies can determine the risk of using a temporary lock out feature on their specific systems.
[] indicates the chosen 'value of times' an agency has decided to use for the temporary lock out feature.",1892,All Classifications,Must,"Technical,Access Control,Passwords,Authentication",Authentication and Access Controls,16,"Identification, Authentication and Authorisation",16.1,Suspension of access,16.1.42,Y
16.4.41.C.01.,"Agencies MUST create, implement and maintain a robust system of continuous discovery, monitoring and review of privileged accounts and the access rights and credentials associated with those accounts.",6859,All Classifications,Must,"Governance,Access Control,Passwords,Event Logging,privileged access",Authentication and Access Controls,16,Privileged Access Management,16.4, Monitoring and Review,16.4.41,Y
16.4.41.C.02.,"Privileged account monitoring systems MUST monitor and record:

individual user activity, including exceptions such as out of hours access;
activity from unauthorised sources;
any unusual use patterns; and
any creation of unauthorised privileges access credentials.
",6860,All Classifications,Must,"Governance,Access Control,Incident Management,Passwords,Event Logging,Information Security Incidents,privileged access",Authentication and Access Controls,16,Privileged Access Management,16.4, Monitoring and Review,16.4.41,Y
